company_withAccessInfo,link,country,sector,industry,publication date,pages PDF,auditor
74Software*,https://www.74software.com/sites/default/files/financial_documents/2024%20-%20DEU%20-%20VEN%20-%2024%20mars.pdf,France,Technology & Communications,Software & IT Services,2025-03-24,103,ACA Nexia & Forvis Mazars
AB InBev,https://cdn.builder.io/o/assets%2F2e5c7fb020194c1a8ee80f743d0b923e%2Ffa283055d37b49a2814094325ca5abf1?alt=media&token=35f21c06-7ae0-4c9c-b6bf-85d79a306575&apiKey=2e5c7fb020194c1a8ee80f743d0b923e,Belgium,Food & Beverage,Alcoholic Beverages,2025-02-26,37,PwC
ABN Amro,https://downloads.ctfassets.net/1u811bvgvthc/4kP1H76f9NV9aqKE5SjTxE/a049b59e013fd808d8d0ceeb9ee3a4c5/ABN_AMRO___Integrated_Annual_Report_2024.pdf,Netherlands,Financials,Commercial Banks,2025-03-12,147,EY
Acciona*,https://www.acciona.com/content/dam/acciona-global/documentos/cnmv/2025/informe-sostenibilidad-2024.pdf,Spain,Infrastructure,Engineering & Construction Services,2025-02-12,439,KPMG
Acerinox,https://www.acerinox.com/export/sites/acerinox/es/accionistas-e-inversores/informacion-economica-financiera/informe-anual-integrado/.galleries/Informacion-Anual/2024-Acerinox-Group-Consolidated-Management-Report.pdf,Spain,Extractives & Mineral Processing,Iron & Steel Producers,2025-02-28,128,PwC
Acomo,https://www.acomo.nl/wp-content/uploads/2025/03/Annual-Report-2024-Interactive.pdf,Netherlands,Food & Beverage,Processed Foods,2025-03-07,56,EY
Addiko Bank,https://www.addiko.com/static/uploads/Addiko-Group-Consolidated-Financial-Report-2024-EN-1.pdf,Austria,Financials,Commercial Banks,2025-03-06,139,KPMG
adidas,https://report.adidas-group.com/2024/en/_assets/downloads/annual-report-adidas-ar24.pdf,Germany,Consumer Goods,"Apparel, Accessories & Footwear",2025-03-05,218,PwC
Adyen*,https://brand.adyen.com/api/asset/eyJjbGllbnRJZCI6bnVsbCwiaWQiOjU2NjkxLCJ0aW1lc3RhbXAiOjE3NDEzNDgzNDEsInZlcnNpb24iOjE3NDEzNDgyMDV9:adyen:kj44Bpqibw5DHCvRHFCwtnzOuM88_WWzAKJ1odHfCfY/download,Netherlands,Consumer Goods,E-Commerce,2025-03-07,156,PwC
Aena,https://www.aena.es/sites/Satellite?blobcol=urldata&blobkey=id&blobtable=MungoBlobs&blobwhere=1576870867684&ssbinary=true,Spain,Transportation,Air Freight & Logistics,2025-02-26,303,KPMG
AIB,https://aib.ie/content/dam/frontdoor/investorrelations/docs/resultscentre/annualreport/2024/aib-group-plc-afr-report-2024.pdf,Ireland,Financials,Commercial Banks,2025-03-05,78,PwC
Air France-KLM,https://www.airfranceklm.com/sites/default/files/2025-04/2024_urd-ven_04032025.pdf,France,Transportation,Airlines,2024-04-03,170,KPMG & PwC
Air Liquide,https://www.airliquide.com/sites/airliquide.com/files/2025-03/air-liquide-2024-universal-registration-document.pdf,France,Resource Transformation,Chemicals,2025-03-07,104,PwC & KPMG
Airbus,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf,France,Resource Transformation,Aerospace & Defence,2025-04-01,109,EY
AIXTRON*,https://www.aixtron.com/investoren/publikationen/2024/en/Annual%20Report%202024.pdf,Germany,Technology & Communications,Semiconductors,2025-02-26,87,KPMG
Alfen,https://alfen.com/nl/media/2013/download?attachment,Netherlands,Resource Transformation,Electrical & Electronic Equipment,2025-02-12,34,PwC
ALK,https://ir.alk.net/static-files/b6b65921-c84e-45c4-8b5a-e6f91bc00cbd,Denmark,Health Care,Biotechnology & Pharmaceuticals,2025-02-19,70,PwC
Allegro*,https://about.allegro.eu/static-files/2d1a10ad-ea02-409b-99db-556b96234d06,Luxembourg,Consumer Goods,E-Commerce,2025-03-13,68,PwC
Allianz,https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/investor-relations/en/results-reports/annual-report/ar-2024/en-allianz-group-annual-report-2024.pdf,Germany,Financials,Insurance,2025-03-14,133,PwC
Amadeus IT*,https://corporate.amadeus.com/documents/en/investors/2024/corporate-governance/non-financial-information-2024.pdf,Spain,Technology & Communications,Software & IT Services,2025-02-28,210,EY
AMAG Austria Metall,https://www.amag-al4u.com/fileadmin/user_upload/amag/Investor_Relations/Publikationen/2024/AMAG_GJ2024_Finanzbericht_en.pdf,Austria,Extractives & Mineral Processing,Metals & Mining,2025-02-20,115,EY
AMG Critical Materials*,https://reports.amg-nv.com/2024/_assets/downloads/entire-amg-ar24.pdf?h=S9LODnP_,Netherlands,Resource Transformation,Chemicals,2025-03-12,59,KPMG
Amplifon*,https://corporate.amplifon.com/content/dam/amplifon/archive/en/investors/financial-reports/2025/250321_Amplifon_REPORT_ENG_WEB.pdf,Italy,Health Care,Health Care Distributors,2025-03-20,121,KPMG
Arcadis,https://media.arcadis.com/-/media/project/arcadiscom/com/investors/arcadis-annual-integrated-report/2025/arcadis-annual-integrated-report-2024.pdf,Netherlands,Infrastructure,Engineering & Construction Services,2025-02-13,110,PwC
Arena Hospitality*,https://www.arenahospitalitygroup.com/datastore/filestore/137/Annual-Report-2024.pdf,Croatia,Services,Hotels & Lodging,2025-02-27,44,Deloitte
Argenx*,https://argenx.com/content/dam/argenx-corp/media-documents/argenx-Integrated_Annual_Report_2024-PDF_print_1.pdf.coredownload.inline.pdf,Netherlands,Health Care,Biotechnology & Pharmaceuticals,2025-03-20,70,Deloitte
ASM International*,https://www.asm.com/media/3xuppljv/annual-report-2024-asm-final.pdf,Netherlands,Technology & Communications,Semiconductors,2025-03-06,37,KPMG
ASML Holding*,https://ourbrand.asml.com/m/79d325b168e0fd7e/original/2024-Annual-Report-based-on-US-GAAP.pdf#page=1,Netherlands,Technology & Communications,Semiconductors,2025-03-05,164,KPMG
ASR Nederland*,https://annualreport.asrnl.com/2024/xmlpages/tan/files?p_file_id=445,Netherlands,Financials,Insurance,2025-03-26,128,KPMG
Assa Abloy*,https://www.assaabloy.com/group/en/documents/investors/annual-reports/2024/Annual%20Report%202024%20-%20for%20print.pdf,Sweden,Resource Transformation,Electrical & Electronic Equipment,2025-03-12,50,EY
Atenor*,https://www.atenor.eu/wp-content/uploads/2025/03/Atenor-Annual-Report-2024.pdf,Belgium,Infrastructure,Home Builders,2025-03-27,139,BDO
Atria,https://www.atria.com/globalassets/atria.com/sijoittajat/atrian-vuosi-2024/en/atria-annual-report-2024.pdf,Finland,Food & Beverage,"Meat, Poultry & Dairy",2025-03-07,52,Deloitte
Austrian Post,https://assets.post.at/-/media/Dokumente/En/Investor-Relations/Geschaefts--und-Nachhaltigkeitsberichte/Austrian-Post-Annual-Report-2024.pdf,Austria,Transportation,Air Freight & Logistics,2025-03-07,116,BDO
AXA*,https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com/fd85b507-f97f-4ac5-861b-6b2b90e1c601_AXA_URD2024_EN.pdf,France,Financials,Insurance,2025-03-19,143,EY & KPMG
Axfood,https://www.axfood.com/globalassets/startsida/investerare/rapporter-och-presentationer/2024/axfood-annual-and-sustainability-report-2024.pdf,Sweden,Food & Beverage,Food Retailers & Distributors,2025-02-21,60,Deloitte
BAM,https://www.bam.com/sites/bamc/files/2025-02/bam-2024-annual-report_0.pdf,Netherlands,Infrastructure,Engineering & Construction Services,2025-02-21,70,EY
Banco Sabadell,https://www.grupbancsabadell.com/corp/files/6000238911432/6_is_24_eng.pdf?bsb=RmlsZV9DLTYwMDAyMzg5MTE0MzItMTM3NDA5ODA3OTg5NQ,Spain,Financials,Commercial Banks,2025-02-14,270,KPMG
Banco Santander,https://www.santander.com/content/dam/santander-com/en/documentos/informe-financiero-anual/2024/ifa-2024-consolidated-annual-financial-report-en.pdf,Spain,Financials,Commercial Banks,2025-02-25,214,PwC
