company,link,country,sector,industry,pages,auditor,type,text,tot_credits,removal,reduction,standard,eu,ca,ccs,notes
(M6) Metropole Television,https://www.groupem6.fr/app/uploads/sites/3/2025/04/2024-urd.pdf,France,Services,Media & Entertainment,98,KPMG,3,,0,,,,,,,
74Software,https://www.74software.com/sites/default/files/financial_documents/2024%20-%20DEU%20-%20VEN%20-%2024%20mars.pdf,France,Technology & Communications,Software & IT Services,103,ACA Nexia & Forvis Mazars,3,,0,,,,,,,
A2A,https://www.gruppoa2a.it/annual-financial-report/2024/,Italy,Infrastructure,Electric Utilities & Power Generators,265,EY,3,,0,,,,,,,
Aalberts,https://aalberts-website.s3.eu-west-1.amazonaws.com/media/App/Models/Download/000/000/502/attachment/original/Aalberts%20annual%20report%202024.pdf,Netherlands,Resource Transformation,Industrial Machinery & Goods,55,Deloitte,3,,0,,,,,,,
Aareal Bank,https://www.aareal-bank.com/fileadmin/downloadlist/DAM_Content/IR/Finanzberichte/2024/20241231_gb_en.pdf,Germany,Financials,Consumer Finance,200,KPMG,1,"Aareal Bank Group's basic approach is to „avoid, reduce, offset"". In line with this, offsetting is only performed for emissions that could not be avoided or reduced using the measures to reduce the carbon footprint from operations described in El-3. Both the reduction measures and climate offsetting contribute to the target of climate-neutral operations through offsetting described in El-4.
The „corresponding adjustments"" methods was used for the first time in reporting year 2024 to offset unavoidable emissions from the Bank's own operations in financial year 2023. The partner that Aareal Bank AG uses to offset the unavoidable emissions has obtained certification for its climate change mitigation projects from both the UN - or to be precise the UN's Clean Development Mechanism (CDM) - and the Gold Standard and applies the principle of „avoid before reduce before offset"". In line with this, the offsetting partner only performs carbon offsets for companies if these have already implemented, or are planning, ambitious avoidance and reduction actions within the bounds of what is technically and economically feasible. In addition, all projects are presented transparently and the provider has teams of project specialists who monitor the offsetting projects on the ground.
Aareal Bank AG offsets the unavoidable emissions from its own operation using the Corresponding Adjustments method. Corresponding adjustments avoid double-counting of emissions certificates since only the acquiring country, and not the project country concerned, can count them towards their climate footprint. The offsetting project in question has been successfully operating for a number of years already; it has existed since 2009 and has been constantly enhanced since then. The relevant local production facility was opened in 2020. It is registered as CDM-compliant with the United Nations Framework Convention on Climate Change (UNFCCC) and additionally as a Gold Standard project, and has already been successfully verified a number of times. The certifications guarantee sustainable carbon savings by using independent auditors that are accredited by the UN. At the same time, the projects offer substantial ancillary benefits for the population in the project country concerned (e.g. health protection, the alleviation of poverty, jobs, equal rights and much more).
The provider continuously monitors compliance with the standards using an independent and unpaid advisory council comprising representatives of ministries and NGOs.
As already mentioned, all unavoidable Scope I, Scope 2 and Scope 3 emissions from business travel in financial year 2023 were offset in 2024. This amounted to 4,825 t COze. The credits cancelled in 2024 for 2023 relate both to Aareal Bank AG and to all subsidiaries including Aareon. All offsetting was performed using a reduction project located outside Europe, which is certified under both the Gold-Standard and the CDM, and which is in line with Article 6 of the Paris Agreement on climate change. The emissions to be offset in financial year 2024 in the amount of 2,000 t COzeq, consisting of Scopes I and 2 as well as business trips from Scope 3, will be retired in 2025. Aareal Bank has entered into a long-term partnership with the provider concerned and plans to continue this in the future as well.","4,825",0,100,"Gold Standard, CDM",0,100,,
AB InBev,https://cdn.builder.io/o/assets%2F2e5c7fb020194c1a8ee80f743d0b923e%2Ffa283055d37b49a2814094325ca5abf1?alt=media&token=35f21c06-7ae0-4c9c-b6bf-85d79a306575&apiKey=2e5c7fb020194c1a8ee80f743d0b923e,Belgium,Food & Beverage,Alcoholic Beverages,37,PwC,3,,0,,,,,,,
Abertis Infraestructuras,https://abertis.com/media/web_abertis/Abertis%20Annual%20Report%202024_20250227174232.pdf,Spain,Infrastructure,Engineering & Construction Services,215,KPMG,3,,0,,,,,,,
ABN Amro,https://downloads.ctfassets.net/1u811bvgvthc/4kP1H76f9NV9aqKE5SjTxE/a049b59e013fd808d8d0ceeb9ee3a4c5/ABN_AMRO___Integrated_Annual_Report_2024.pdf,Netherlands,Financials,Commercial Banks,147,EY,3,"ABN AMRO has not developed GHG removal and storage projects in its
own operations, or contributed to in its upstream and downstream value chain. Carbon reduction credits aim to decrease the amount of greenhouse gas emissions compared to
prior practice. These credits differ from carbon removal credits, which aim to remove greenhouse gas
emissions from the atmosphere. ABN AMRO purchases these carbon reduction credits from a project
financing biogas installations in North Brabant (the Netherlands); these installations ferment manure
and other sources to produce renewable electricity that is fed into the national grid. ",0,,,,,,,
Acciona,https://www.acciona.com/content/dam/acciona-global/documentos/cnmv/2025/informe-sostenibilidad-2024.pdf,Spain,Infrastructure,Engineering & Construction Services,439,KPMG,1,"Las metas de reducción de emisiones de ACCIONA para alcanzar el objetivo Net-Zero han sido
aprobadas por la iniciativa global SBTi. Estas metas incluyen la reducción de emisiones en un 90%
para los alcances 1 y 2 para el año 2040 y a 2050 para el alcance 3 en el caso de ACCIONA y del 90%
para los alcances 1, 2 y 3 para el año 2050 en el caso de Nordex. En consecuencia, ACCIONA se
compromete a utilizar los mecanismos validados por SBTi para compensar las emisiones residuales
que no puedan eliminarse, garantizando el cumplimiento de los requisitos establecidos por la
iniciativa. ACCIONA no cuenta con actuaciones de eliminación y almacenamiento de GEI tecnológicas o híbridas
desarrolladas en operaciones propias o en las fases anteriores y posteriores de su cadena de valor que
no se hayan consolidado en el apartado E1-6. Desde 2016, ACCIONA realiza una cancelación voluntaria del 100 % de las emisiones residuales
anuales (alcances 1 y 2) que no ha podido reducir, mediante créditos de carbono generados por
proyectos de energía renovable. Conforme a sus estándares internos, ACCIONA selecciona exclusivamente créditos avalados por
estándares reconocidos y de calidad, garantizando así la integridad y el impacto positivo de los
proyectos financiados a través de este instrumento.
Es importante destacar que esta cancelación de créditos no constituye una dependencia ni un
requisito para el cumplimiento de los objetivos de reducción de GEI establecidos en el apartado E1-4.
Por el contrario, se trata de una acción voluntaria que actúa como un incentivo adicional hacia la
descarbonización, promoviendo medidas directas y sostenibles para reducir emisiones.","208,431",0,100,Cercarbono,0,0,,
Accor,https://group.accor.com/-/media/Corporate/Investors/Documents-de-reference/ACCOR_URD2024_UK_20250328_MEL.pdf?rev=c8bffc791bea49cf8df80872daede09f,France,Services,Hotels & Lodging,149,PwC,3,"As part of its Climate Policy, Accor has set itself the primary
objective of reducing its greenhouse gas emissions and is
currently opting not to account for any carbon capture
projects. As such, the Group does not prepare reports on
the use of carbon credits. Consequently, Accor does not
propose any information about this topic. ",0,,,,,,,
